id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
35346496,Condo in Boston · ★4.75 · 2 bedrooms · 2 beds · 1 bath,28299940,Mauryn,,Jamaica Plain,42.32024,-71.11171,Entire home/apt,200,91,4,2019-10-21,0.08,2,0,0,STR-396957
35405830,Home in Boston · 1 bedroom · 1 bed · 1.5 shared baths,81492503,Mark,,West Roxbury,42.266,-71.16495,Private room,1000,91,0,,,3,90,0,
35407404,Home in Boston · 10 bedrooms · 1 bed · 1.5 shared baths,81492503,Mark,,West Roxbury,42.27919,-71.16149,Private room,1000,91,1,2019-06-26,0.02,3,90,0,
35467463,Townhouse in Boston · ★4.69 · 1 bedroom · 1 bed · 1 bath,258974203,Sophia,,Beacon Hill,42.35987,-71.06598,Entire home/apt,269,29,16,2023-07-20,0.31,2,171,4,Exempt: This listing is a unit used for furnished institutional or business stays
35481543,Rental unit in Boston · 1 bedroom · 1 bed · 1 bath,107434423,Blueground,,Beacon Hill,42.3594063,-71.0674425,Entire home/apt,175,32,1,2022-05-05,0.06,330,188,0,
35547817,Home in Boston · ★4.88 · 1 bedroom · 1 bed · 2 shared baths,30489899,Home On Blaine,,Allston,42.36004,-71.12818,Private room,45,91,8,2022-10-31,0.16,4,266,1,
35569935,Rental unit in Boston · 1 bedroom · 3 beds · 1 bath,50437930,Misha,,Brighton,42.3425,-71.15087,Entire home/apt,75,31,1,2020-03-29,0.02,3,0,0,
35576389,Home in Boston · ★4.64 · 1 bedroom · 2 beds · 1 private bath,188939923,Mort,,Roxbury,42.32239,-71.08039,Private room,125,2,36,2023-09-10,0.72,7,238,17,STR-415018
35579707,Rental unit in Boston · ★5.0 · 1 bedroom · 2 beds · 2 shared baths,191449187,Fehr,,East Boston,42.37007,-71.03829,Private room,115,91,3,2019-10-19,0.06,2,0,0,
35583138,Rental unit in Boston · ★4.88 · 3 bedrooms · 6 beds · 3 baths,261646616,Joseph,,Dorchester,42.31538,-71.05874,Entire home/apt,214,2,138,2023-09-14,2.69,3,75,40,STR-416636
